transaction_id,user_id,transaction_time,amount,merchant,location,payment_method,status,currency
EDGE-000001,USER-0076,2026-01-15 09:09:00,N/A,Shell Merchant 991,Bengaluru,UPI,refund,
EDGE-000002,USER-0049,2026-01-15 09:18:00,ten thousand,RideSwift,Kolkata,Wallet,failed,EUR
EDGE-000003,USER-0004,2026-01-15 09:27:00,₹0,StyleHub,N/A,Credit Card,success,USD
EDGE-000004,USER-0034,2026-01-15 09:36:00,0,HomeNeeds,Delhi,Credit Card,refund,INR
EDGE-000005,USER-0006,2026-01-15 09:45:00,-1,GreenBasket,Jaipur,Credit Card,success,INR
EDGE-000006,USER-0070,2026-01-15 09:54:00,-2500,CloudKart,Mumbai,Net Banking,success,
EDGE-000007,USER-0052,2026-01-15 10:03:00,"Rs. -4,500",MovieMax,Bhopal,Unknown,failed,JPY
EDGE-000008,USER-0014,2026-01-15 10:12:00,INR 999999999,StyleHub,Kolkata,Wallet,success,EUR
EDGE-000009,USER-0070,2026-01-15 10:21:00,"$12,000.50",UrbanFuel Station,Pune,UPI,refund,USD
EDGE-000010,USER-0050,2026-01-15 10:30:00,"1,25,000",Shell Merchant 991,N/A,Unknown,refund,EUR
EDGE-000011,USER-0032,2026-01-15 10:39:00,"₹ 2,50,000.75",TechSquare,Bhopal,Debit Card,failed,
EDGE-000012,USER-0022,2026-01-15 10:48:00,,BookNest,Jaipur,,chargeback,JPY
EDGE-000013,USER-0033,2026-01-15 10:57:00,,MovieMax,Hyderabad,Net Banking,chargeback,JPY
EDGE-000014,USER-0025,2026-01-15 11:06:00,null,TechSquare,Kolkata,Debit Card,reversal,INR
EDGE-000015,USER-0029,2026-01-15 11:15:00,--,QuickBite Cafe,Mumbai,,reversal,USD
EDGE-000016,USER-0040,2026-01-15 11:24:00,not_a_number,HighRiskPayee,Kolkata,UPI,chargeback,INR
EDGE-000017,USER-0054,2026-01-15 11:33:00,N/A,CloudKart,Chennai,UPI,refund,INR
EDGE-000018,USER-0012,2026-01-15 11:42:00,ten thousand,CloudKart,Hyderabad,Credit Card,failed,EUR
EDGE-000019,USER-0001,2026-01-15 11:51:00,₹0,GreenBasket,,,failed,EUR
EDGE-000020,USER-0023,2026-01-15 12:00:00,0,Shell Merchant 991,Jaipur,Debit Card,reversal,USD
EDGE-000021,USER-0066,2026-01-15 12:09:00,-1,City Pharmacy,Mumbai,Wallet,reversal,INR
EDGE-000022,USER-0002,2026-01-15 12:18:00,-2500,UrbanFuel Station,Hyderabad,Credit Card,failed,EUR
EDGE-000023,USER-0073,2026-01-15 12:27:00,"Rs. -4,500",CloudKart,Bengaluru,UPI,chargeback,JPY
EDGE-000024,USER-0064,2026-01-15 12:36:00,INR 999999999,MovieMax,N/A,UPI,refund,JPY
EDGE-000025,USER-0065,2026-01-15 12:45:00,"$12,000.50",HighRiskPayee,Unknown,,failed,
EDGE-000026,USER-0031,2026-01-15 12:54:00,"1,25,000",City Pharmacy,Hyderabad,Net Banking,refund,USD
EDGE-000027,USER-0022,2026-01-15 13:03:00,"₹ 2,50,000.75",GiftCard Vault,N/A,Net Banking,failed,EUR
EDGE-000028,USER-0062,2026-01-15 13:12:00,,QuickBite Cafe,,,refund,
EDGE-000029,USER-0078,2026-01-15 13:21:00,,NightOwl Electronics,Hyderabad,Net Banking,failed,INR
EDGE-000030,USER-0002,2026-01-15 13:30:00,null,RideSwift,Mumbai,Credit Card,reversal,
EDGE-000031,USER-0026,2026-01-15 13:39:00,--,MovieMax,Bengaluru,,success,
EDGE-000032,USER-0069,2026-01-15 13:48:00,not_a_number,MovieMax,Unknown,Debit Card,chargeback,JPY
EDGE-000033,USER-0010,2026-01-15 13:57:00,N/A,UrbanFuel Station,,Wallet,reversal,USD
EDGE-000034,USER-0044,2026-01-15 14:06:00,ten thousand,MovieMax,N/A,Credit Card,refund,JPY
EDGE-000035,USER-0002,2026-01-15 14:15:00,₹0,HomeNeeds,Bengaluru,Wallet,failed,USD
EDGE-000036,USER-0006,2026-01-15 14:24:00,0,HighRiskPayee,Delhi,Debit Card,refund,USD
EDGE-000037,USER-0063,2026-01-15 14:33:00,-1,HomeNeeds,,Credit Card,failed,INR
EDGE-000038,USER-0028,2026-01-15 14:42:00,-2500,HighRiskPayee,,Unknown,chargeback,JPY
EDGE-000039,USER-0049,2026-01-15 14:51:00,"Rs. -4,500",City Pharmacy,Unknown,Net Banking,chargeback,EUR
EDGE-000040,USER-0064,2026-01-15 15:00:00,INR 999999999,QuickBite Cafe,N/A,Credit Card,refund,EUR
EDGE-000041,USER-0022,2026-01-15 15:09:00,"$12,000.50",HomeNeeds,,Wallet,reversal,USD
EDGE-000042,USER-0027,2026-01-15 15:18:00,"1,25,000",TechSquare,N/A,Unknown,failed,INR
EDGE-000043,USER-0038,2026-01-15 15:27:00,"₹ 2,50,000.75",GiftCard Vault,Mumbai,,refund,
EDGE-000044,USER-0040,2026-01-15 15:36:00,,UrbanFuel Station,Pune,Debit Card,refund,JPY
EDGE-000045,USER-0078,2026-01-15 15:45:00,,HomeNeeds,Ahmedabad,Wallet,chargeback,EUR
EDGE-000046,USER-0049,2026-01-15 15:54:00,null,FlashCryptoX,,Credit Card,success,USD
EDGE-000047,USER-0057,2026-01-15 16:03:00,--,StyleHub,Unknown,Net Banking,refund,EUR
EDGE-000048,USER-0002,2026-01-15 16:12:00,not_a_number,Metro Grocers,N/A,Wallet,reversal,USD
EDGE-000049,USER-0033,2026-01-15 16:21:00,N/A,NightOwl Electronics,Chennai,,failed,EUR
EDGE-000050,USER-0036,2026-01-15 16:30:00,ten thousand,TechSquare,Unknown,Credit Card,refund,
EDGE-000051,USER-0005,2026-01-15 16:39:00,₹0,FlashCryptoX,Unknown,Net Banking,failed,EUR
EDGE-000052,USER-0045,2026-01-15 16:48:00,0,GreenBasket,N/A,Wallet,refund,
EDGE-000053,USER-0074,2026-01-15 16:57:00,-1,Metro Grocers,Chennai,Debit Card,chargeback,
EDGE-000054,USER-0032,2026-01-15 17:06:00,-2500,CloudKart,Delhi,Credit Card,reversal,INR
EDGE-000055,USER-0017,2026-01-15 17:15:00,"Rs. -4,500",StyleHub,Bhopal,Net Banking,chargeback,USD
EDGE-000056,USER-0037,2026-01-15 17:24:00,INR 999999999,GreenBasket,Delhi,Unknown,chargeback,JPY
EDGE-000057,USER-0063,2026-01-15 17:33:00,"$12,000.50",BookNest,Pune,,reversal,USD
EDGE-000058,USER-0053,2026-01-15 17:42:00,"1,25,000",CloudKart,,Net Banking,success,EUR
EDGE-000059,USER-0067,2026-01-15 17:51:00,"₹ 2,50,000.75",CloudKart,Hyderabad,Net Banking,reversal,EUR
EDGE-000060,USER-0078,2026-01-15 18:00:00,,StyleHub,,Net Banking,reversal,USD
EDGE-000061,USER-0036,2026-01-15 18:09:00,1151.49,GiftCard Vault,Bhopal,Net Banking,failed,INR
EDGE-000062,USER-0038,2026-01-15 18:18:00,8068.11,City Pharmacy,Mumbai,Wallet,refund,
EDGE-000063,USER-0022,2026-01-15 18:27:00,1741.97,BookNest,Kolkata,Unknown,reversal,INR
EDGE-000064,USER-0046,2026-01-15 18:36:00,10005.09,MovieMax,Pune,Debit Card,success,
EDGE-000065,USER-0010,2026-01-15 18:45:00,8296.3,BookNest,Mumbai,Debit Card,failed,JPY
EDGE-000066,USER-0062,2026-01-15 18:54:00,11825.25,NightOwl Electronics,Bhopal,Net Banking,chargeback,USD
EDGE-000067,USER-0003,2026-01-15 19:03:00,3059.32,StyleHub,Unknown,UPI,success,USD
EDGE-000068,USER-0072,2026-01-15 19:12:00,2774.27,GreenBasket,Bhopal,Debit Card,failed,USD
EDGE-000069,USER-0059,2026-01-15 19:21:00,1930.55,TechSquare,Bhopal,,refund,INR
EDGE-000070,USER-0006,2026-01-15 19:30:00,2494.31,RideSwift,Bhopal,Debit Card,success,INR
EDGE-000071,USER-0010,2026-01-15 19:39:00,10478.57,HighRiskPayee,Bhopal,Net Banking,success,JPY
EDGE-000072,USER-0078,2026-01-15 19:48:00,10443.0,RideSwift,Jaipur,Debit Card,chargeback,JPY
EDGE-000073,USER-0053,2026-01-15 19:57:00,953.94,UrbanFuel Station,Bengaluru,Wallet,refund,
EDGE-000074,USER-0069,2026-01-15 20:06:00,8007.13,HomeNeeds,Ahmedabad,Wallet,chargeback,EUR
EDGE-000075,USER-0001,2026-01-15 20:15:00,8610.7,City Pharmacy,Pune,Debit Card,reversal,
EDGE-000076,USER-0074,2026-01-15 20:24:00,4171.58,TechSquare,Unknown,Unknown,refund,USD
EDGE-000077,USER-0029,2026-01-15 20:33:00,780.12,HomeNeeds,,Net Banking,failed,
EDGE-000078,USER-0050,2026-01-15 20:42:00,3776.41,HomeNeeds,Delhi,Unknown,failed,EUR
EDGE-000079,USER-0011,2026-01-15 20:51:00,11330.36,Metro Grocers,Bhopal,UPI,success,
EDGE-000080,USER-0020,2026-01-15 21:00:00,3298.97,Metro Grocers,Pune,Unknown,chargeback,USD
EDGE-000081,USER-0009,2026-01-15 21:09:00,4885.89,GiftCard Vault,N/A,Net Banking,refund,INR
EDGE-000082,USER-0030,2026-01-15 21:18:00,10319.27,HighRiskPayee,Unknown,,chargeback,
EDGE-000083,USER-0028,2026-01-15 21:27:00,7276.63,TechSquare,Kolkata,Unknown,success,EUR
EDGE-000084,USER-0067,2026-01-15 21:36:00,5070.99,Shell Merchant 991,Mumbai,Net Banking,chargeback,EUR
EDGE-000085,USER-0029,2026-01-15 21:45:00,5328.38,GiftCard Vault,Mumbai,Debit Card,chargeback,INR
EDGE-000086,USER-0028,2026-01-15 21:54:00,4382.66,NightOwl Electronics,Bengaluru,Credit Card,reversal,USD
EDGE-000087,USER-0040,2026-01-15 22:03:00,9956.18,Metro Grocers,Chennai,Debit Card,refund,USD
EDGE-000088,USER-0048,2026-01-15 22:12:00,5641.6,City Pharmacy,Jaipur,UPI,success,EUR
EDGE-000089,USER-0027,2026-01-15 22:21:00,5188.23,Shell Merchant 991,Jaipur,Credit Card,reversal,INR
EDGE-000090,USER-0038,2026-01-15 22:30:00,6315.51,RideSwift,Pune,Wallet,failed,
EDGE-000091,USER-0050,2026-01-15 22:39:00,9771.98,Metro Grocers,Unknown,Credit Card,refund,INR
EDGE-000092,USER-0028,2026-01-15 22:48:00,10200.27,UrbanFuel Station,Kolkata,Unknown,failed,JPY
EDGE-000093,USER-0070,2026-01-15 22:57:00,5821.88,QuickBite Cafe,Jaipur,UPI,chargeback,EUR
EDGE-000094,USER-0054,2026-01-15 23:06:00,11106.18,RideSwift,Bhopal,Wallet,reversal,JPY
EDGE-000095,USER-0056,2026-01-15 23:15:00,3603.43,UrbanFuel Station,N/A,,success,JPY
EDGE-000096,USER-0010,2026-01-15 23:24:00,10906.96,QuickBite Cafe,Delhi,UPI,refund,JPY
EDGE-000097,USER-0018,2026-01-15 23:33:00,3877.16,Shell Merchant 991,Hyderabad,UPI,failed,
EDGE-000098,USER-0040,2026-01-15 23:42:00,4001.31,FlashCryptoX,Unknown,Credit Card,success,JPY
EDGE-000099,USER-0075,2026-01-15 23:51:00,11310.01,CloudKart,Mumbai,,failed,USD
EDGE-000100,USER-0003,2026-01-16 00:00:00,10198.27,Metro Grocers,Chennai,Unknown,success,EUR
EDGE-000101,USER-0030,2026-01-16 00:09:00,5859.52,RideSwift,Mumbai,Unknown,failed,
EDGE-000102,USER-0020,2026-01-16 00:18:00,9531.62,Metro Grocers,,Credit Card,success,EUR
EDGE-000103,USER-0032,2026-01-16 00:27:00,2662.03,HomeNeeds,N/A,Wallet,success,USD
EDGE-000104,USER-0061,2026-01-16 00:36:00,6645.42,Metro Grocers,Mumbai,Credit Card,success,
EDGE-000105,USER-0003,2026-01-16 00:45:00,1117.54,TechSquare,Unknown,UPI,reversal,EUR
EDGE-000106,USER-0004,2026-01-16 00:54:00,10817.11,TechSquare,N/A,Credit Card,chargeback,USD
EDGE-000107,USER-0040,2026-01-16 01:03:00,6945.6,TechSquare,N/A,Net Banking,chargeback,JPY
EDGE-000108,USER-0080,2026-01-16 01:12:00,5759.47,HomeNeeds,Kolkata,Net Banking,refund,JPY
EDGE-000109,USER-0038,2026-01-16 01:21:00,6127.97,HomeNeeds,Unknown,Credit Card,chargeback,EUR
EDGE-000110,USER-0036,2026-01-16 01:30:00,1865.48,BookNest,Unknown,UPI,refund,EUR
EDGE-000111,USER-0027,2026-01-16 01:39:00,11893.06,QuickBite Cafe,Bhopal,UPI,reversal,JPY
EDGE-000112,USER-0069,2026-01-16 01:48:00,8223.04,FlashCryptoX,Jaipur,Debit Card,refund,
EDGE-000113,USER-0021,2026-01-16 01:57:00,9942.34,GreenBasket,Jaipur,Net Banking,refund,USD
EDGE-000114,USER-0035,2026-01-16 02:06:00,6992.66,StyleHub,Bhopal,UPI,refund,
EDGE-000115,USER-0015,2026-01-16 02:15:00,9559.04,GreenBasket,Kolkata,Credit Card,success,
EDGE-000116,USER-0017,2026-01-16 02:24:00,10378.2,CloudKart,Mumbai,,failed,EUR
EDGE-000117,USER-0032,2026-01-16 02:33:00,7207.65,HomeNeeds,,UPI,refund,
EDGE-000118,USER-0013,2026-01-16 02:42:00,8771.85,GreenBasket,N/A,UPI,success,EUR
EDGE-000119,USER-0025,2026-01-16 02:51:00,3037.7,MovieMax,Bengaluru,Debit Card,chargeback,USD
EDGE-000120,USER-0049,2026-01-16 03:00:00,11656.86,GiftCard Vault,Chennai,Net Banking,failed,
EDGE-RAPID-000000,USER-EDGE-RAPID,2026-01-16 18:20:00,300,FlashCryptoX,Bengaluru,UPI,success,INR
EDGE-RAPID-000001,USER-EDGE-RAPID,2026-01-16 18:21:00,350,NightOwl Electronics,Mumbai,Debit Card,success,INR
EDGE-RAPID-000002,USER-EDGE-RAPID,2026-01-16 18:22:00,400,GiftCard Vault,Hyderabad,Credit Card,success,INR
