transaction_id,user_id,transaction_time,amount,merchant,location,payment_method,status,currency
EDGE-RAPID-000003,USER-EDGE-RAPID,2026-01-16 18:23:00,450,Shell Merchant 991,Delhi,Net Banking,success,INR
EDGE-RAPID-000004,USER-EDGE-RAPID,2026-01-16 18:24:00,500,HighRiskPayee,Chennai,Wallet,success,INR
EDGE-RAPID-000005,USER-EDGE-RAPID,2026-01-16 18:25:00,550,FlashCryptoX,Pune,UPI,success,INR
EDGE-RAPID-000006,USER-EDGE-RAPID,2026-01-16 18:26:00,600,NightOwl Electronics,Bhopal,Debit Card,success,INR
EDGE-RAPID-000007,USER-EDGE-RAPID,2026-01-16 18:27:00,650,GiftCard Vault,Kolkata,Credit Card,success,INR
EDGE-RAPID-000008,USER-EDGE-RAPID,2026-01-16 18:28:00,700,Shell Merchant 991,Jaipur,Net Banking,success,INR
EDGE-RAPID-000009,USER-EDGE-RAPID,2026-01-16 18:29:00,750,HighRiskPayee,Ahmedabad,Wallet,success,INR
EDGE-RAPID-000010,USER-EDGE-RAPID,2026-01-16 18:30:00,800,FlashCryptoX,Bengaluru,UPI,success,INR
EDGE-RAPID-000011,USER-EDGE-RAPID,2026-01-16 18:31:00,850,NightOwl Electronics,Mumbai,Debit Card,success,INR
EDGE-RAPID-000012,USER-EDGE-RAPID,2026-01-16 18:32:00,900,GiftCard Vault,Hyderabad,Credit Card,success,INR
EDGE-RAPID-000013,USER-EDGE-RAPID,2026-01-16 18:33:00,950,Shell Merchant 991,Delhi,Net Banking,success,INR
EDGE-RAPID-000014,USER-EDGE-RAPID,2026-01-16 18:34:00,1000,HighRiskPayee,Chennai,Wallet,success,INR
EDGE-RAPID-000015,USER-EDGE-RAPID,2026-01-16 18:35:00,1050,FlashCryptoX,Pune,UPI,success,INR
EDGE-RAPID-000016,USER-EDGE-RAPID,2026-01-16 18:36:00,1100,NightOwl Electronics,Bhopal,Debit Card,success,INR
EDGE-RAPID-000017,USER-EDGE-RAPID,2026-01-16 18:37:00,1150,GiftCard Vault,Kolkata,Credit Card,success,INR
EDGE-RAPID-000018,USER-EDGE-RAPID,2026-01-16 18:38:00,1200,Shell Merchant 991,Jaipur,Net Banking,success,INR
EDGE-RAPID-000019,USER-EDGE-RAPID,2026-01-16 18:39:00,1250,HighRiskPayee,Ahmedabad,Wallet,success,INR
EDGE-RAPID-000020,USER-EDGE-RAPID,2026-01-16 18:40:00,1300,FlashCryptoX,Bengaluru,UPI,success,INR
EDGE-RAPID-000021,USER-EDGE-RAPID,2026-01-16 18:41:00,1350,NightOwl Electronics,Mumbai,Debit Card,success,INR
EDGE-RAPID-000022,USER-EDGE-RAPID,2026-01-16 18:42:00,1400,GiftCard Vault,Hyderabad,Credit Card,success,INR
EDGE-RAPID-000023,USER-EDGE-RAPID,2026-01-16 18:43:00,1450,Shell Merchant 991,Delhi,Net Banking,success,INR
EDGE-RAPID-000024,USER-EDGE-RAPID,2026-01-16 18:44:00,1500,HighRiskPayee,Chennai,Wallet,success,INR
EDGE-RAPID-000025,USER-EDGE-RAPID,2026-01-16 18:45:00,1550,FlashCryptoX,Pune,UPI,success,INR
EDGE-RAPID-000026,USER-EDGE-RAPID,2026-01-16 18:46:00,1600,NightOwl Electronics,Bhopal,Debit Card,success,INR
EDGE-RAPID-000027,USER-EDGE-RAPID,2026-01-16 18:47:00,1650,GiftCard Vault,Kolkata,Credit Card,success,INR
EDGE-RAPID-000028,USER-EDGE-RAPID,2026-01-16 18:48:00,1700,Shell Merchant 991,Jaipur,Net Banking,success,INR
EDGE-RAPID-000029,USER-EDGE-RAPID,2026-01-16 18:49:00,1750,HighRiskPayee,Ahmedabad,Wallet,success,INR
EDGE-RAPID-000030,USER-EDGE-RAPID,2026-01-16 18:50:00,1800,FlashCryptoX,Bengaluru,UPI,success,INR
EDGE-RAPID-000031,USER-EDGE-RAPID,2026-01-16 18:51:00,1850,NightOwl Electronics,Mumbai,Debit Card,success,INR
EDGE-RAPID-000032,USER-EDGE-RAPID,2026-01-16 18:52:00,1900,GiftCard Vault,Hyderabad,Credit Card,success,INR
EDGE-RAPID-000033,USER-EDGE-RAPID,2026-01-16 18:53:00,1950,Shell Merchant 991,Delhi,Net Banking,success,INR
EDGE-RAPID-000034,USER-EDGE-RAPID,2026-01-16 18:54:00,2000,HighRiskPayee,Chennai,Wallet,success,INR
EDGE-RAPID-000035,USER-EDGE-RAPID,2026-01-16 18:55:00,2050,FlashCryptoX,Pune,UPI,success,INR
EDGE-RAPID-000036,USER-EDGE-RAPID,2026-01-16 18:56:00,2100,NightOwl Electronics,Bhopal,Debit Card,success,INR
EDGE-RAPID-000037,USER-EDGE-RAPID,2026-01-16 18:57:00,2150,GiftCard Vault,Kolkata,Credit Card,success,INR
EDGE-RAPID-000038,USER-EDGE-RAPID,2026-01-16 18:58:00,300000,Shell Merchant 991,Jaipur,Net Banking,success,INR
EDGE-RAPID-000039,USER-EDGE-RAPID,2026-01-16 18:59:00,300000,HighRiskPayee,Ahmedabad,Wallet,success,INR
EDGE-RAPID-000040,USER-EDGE-RAPID,2026-01-16 19:00:00,300000,FlashCryptoX,Bengaluru,UPI,success,INR
EDGE-RAPID-000041,USER-EDGE-RAPID,2026-01-16 19:01:00,300000,NightOwl Electronics,Mumbai,Debit Card,success,INR
EDGE-RAPID-000042,USER-EDGE-RAPID,2026-01-16 19:02:00,300000,GiftCard Vault,Hyderabad,Credit Card,success,INR
EDGE-RAPID-000043,USER-EDGE-RAPID,2026-01-16 19:03:00,300000,Shell Merchant 991,Delhi,Net Banking,success,INR
EDGE-RAPID-000044,USER-EDGE-RAPID,2026-01-16 19:04:00,300000,HighRiskPayee,Chennai,Wallet,success,INR
EDGE-LOC-000000,USER-EDGE-TRAVEL,2026-01-17 04:20:00,1499,StyleHub,Location-00,UPI,success,INR
EDGE-LOC-000001,USER-EDGE-TRAVEL,2026-01-17 04:22:00,1999,HomeNeeds,Location-01,UPI,success,INR
EDGE-LOC-000002,USER-EDGE-TRAVEL,2026-01-17 04:24:00,999,MovieMax,Location-02,UPI,success,INR
EDGE-LOC-000003,USER-EDGE-TRAVEL,2026-01-17 04:26:00,999,TechSquare,Location-03,UPI,success,INR
EDGE-LOC-000004,USER-EDGE-TRAVEL,2026-01-17 04:28:00,50000,TechSquare,Location-04,UPI,success,INR
EDGE-LOC-000005,USER-EDGE-TRAVEL,2026-01-17 04:30:00,999,RideSwift,Location-05,UPI,success,INR
EDGE-LOC-000006,USER-EDGE-TRAVEL,2026-01-17 04:32:00,999,UrbanFuel Station,Location-06,UPI,success,INR
EDGE-LOC-000007,USER-EDGE-TRAVEL,2026-01-17 04:34:00,1999,TechSquare,Location-07,UPI,success,INR
EDGE-LOC-000008,USER-EDGE-TRAVEL,2026-01-17 04:36:00,1999,StyleHub,Location-08,UPI,success,INR
EDGE-LOC-000009,USER-EDGE-TRAVEL,2026-01-17 04:38:00,1499,HomeNeeds,Location-09,UPI,success,INR
EDGE-LOC-000010,USER-EDGE-TRAVEL,2026-01-17 04:40:00,1999,QuickBite Cafe,Location-10,UPI,success,INR
EDGE-LOC-000011,USER-EDGE-TRAVEL,2026-01-17 04:42:00,999,UrbanFuel Station,Location-11,UPI,success,INR
EDGE-LOC-000012,USER-EDGE-TRAVEL,2026-01-17 04:44:00,999,TechSquare,Location-12,UPI,success,INR
EDGE-LOC-000013,USER-EDGE-TRAVEL,2026-01-17 04:46:00,1499,StyleHub,Location-13,UPI,success,INR
EDGE-LOC-000014,USER-EDGE-TRAVEL,2026-01-17 04:48:00,999,QuickBite Cafe,Location-14,UPI,success,INR
EDGE-LOC-000015,USER-EDGE-TRAVEL,2026-01-17 04:50:00,1999,CloudKart,Location-15,UPI,success,INR
EDGE-LOC-000016,USER-EDGE-TRAVEL,2026-01-17 04:52:00,1999,UrbanFuel Station,Location-16,UPI,success,INR
EDGE-LOC-000017,USER-EDGE-TRAVEL,2026-01-17 04:54:00,1999,GreenBasket,Location-17,UPI,success,INR
EDGE-LOC-000018,USER-EDGE-TRAVEL,2026-01-17 04:56:00,999,Metro Grocers,Location-18,UPI,success,INR
EDGE-LOC-000019,USER-EDGE-TRAVEL,2026-01-17 04:58:00,999,HomeNeeds,Location-19,UPI,success,INR
EDGE-LOC-000020,USER-EDGE-TRAVEL,2026-01-17 05:00:00,1999,GreenBasket,Location-20,UPI,success,INR
EDGE-LOC-000021,USER-EDGE-TRAVEL,2026-01-17 05:02:00,1499,CloudKart,Location-21,UPI,success,INR
EDGE-LOC-000022,USER-EDGE-TRAVEL,2026-01-17 05:04:00,50000,BookNest,Location-22,UPI,success,INR
EDGE-LOC-000023,USER-EDGE-TRAVEL,2026-01-17 05:06:00,999,CloudKart,Location-23,UPI,success,INR
EDGE-LOC-000024,USER-EDGE-TRAVEL,2026-01-17 05:08:00,50000,CloudKart,Location-24,UPI,success,INR
EDGE-LOC-000025,USER-EDGE-TRAVEL,2026-01-17 05:10:00,1999,HomeNeeds,Location-25,UPI,success,INR
EDGE-LOC-000026,USER-EDGE-TRAVEL,2026-01-17 05:12:00,50000,UrbanFuel Station,Location-26,UPI,success,INR
EDGE-LOC-000027,USER-EDGE-TRAVEL,2026-01-17 05:14:00,999,HomeNeeds,Location-27,UPI,success,INR
EDGE-LOC-000028,USER-EDGE-TRAVEL,2026-01-17 05:16:00,50000,MovieMax,Location-28,UPI,success,INR
EDGE-LOC-000029,USER-EDGE-TRAVEL,2026-01-17 05:18:00,999,GreenBasket,Location-29,UPI,success,INR
EDGE-LOC-000030,USER-EDGE-TRAVEL,2026-01-17 05:20:00,50000,HomeNeeds,Location-30,UPI,success,INR
EDGE-LOC-000031,USER-EDGE-TRAVEL,2026-01-17 05:22:00,1499,RideSwift,Location-31,UPI,success,INR
EDGE-LOC-000032,USER-EDGE-TRAVEL,2026-01-17 05:24:00,1499,City Pharmacy,Location-32,UPI,success,INR
EDGE-LOC-000033,USER-EDGE-TRAVEL,2026-01-17 05:26:00,999,UrbanFuel Station,Location-33,UPI,success,INR
EDGE-LOC-000034,USER-EDGE-TRAVEL,2026-01-17 05:28:00,999,QuickBite Cafe,Location-34,UPI,success,INR
EDGE-DUP-ID-001,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-ID-001,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-ID-001,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-ID-001,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000004,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000005,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000006,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000007,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000008,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000009,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000010,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000011,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000012,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000013,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000014,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000015,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000016,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000017,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000018,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000019,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000020,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000021,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000022,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000023,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000024,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000025,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000026,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000027,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000028,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000029,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000030,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000031,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000032,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000033,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
EDGE-DUP-000034,USER-EDGE-DUP,2026-01-17 16:00:00,7777,Repeat Merchant,Bhopal,Wallet,success,INR
